# 图片清单文件
# 格式: 序号	原文件名	新文件名
11	模型点拍照_0度_01.jpg	P_11.jpg
12	模型点拍照_0度_02.jpg	P_12.jpg
13	模型点拍照_0度_03.jpg	P_13.jpg
14	模型点拍照_0度_01.jpg	V_1743423852636_14.jpg
15	模型点拍照_0度_02.jpg	V_1743423852636_15.jpg
16	模型点拍照_0度_03.jpg	V_1743423852636_16.jpg
17	模型点拍照_0度_04.jpg	V_1743423852636_17.jpg
18	模型点拍照_0度_05.jpg	V_1743423852636_18.jpg
19	起始点拍照_0度_01.jpg	T_1743423852636_1743423909545_19.jpg
20	中间点拍照_0度_01.jpg	T_1743423852636_1743423909545_20.jpg
21	结束点拍照_0度_01.jpg	T_1743423852636_1743423909545_21.jpg
22	中间点拍照_0度_02.jpg	T_1743423852636_1743423909545_22.jpg
23	起始点拍照_0度_02.jpg	T_1743423852636_1743423909545_23.jpg
24	起始点拍照_0度_03.jpg	T_1743423852636_1743423909545_24.jpg
25	中间点拍照_0度_03.jpg	T_1743423852636_1743423909545_25.jpg
26	结束点拍照_0度_02.jpg	T_1743423852636_1743423909545_26.jpg
27	中间点拍照_0度_04.jpg	T_1743423852636_1743423909545_27.jpg
28	起始点拍照_0度_01.jpg	T_1743423852636_1743427139852_28.jpg
29	结束点拍照_0度_01.jpg	T_1743423852636_1743427139852_29.jpg
30	模型点拍照_0度_01.jpg	V_1743427114600_30.jpg
31	结束点拍照_0度_01.jpg	T_1743427114600_1743428287249_31.jpg
32	起始点拍照_0度_01.jpg	T_1743427114600_1743428287249_32.jpg
